artists,track_name,popularity,duration_ms,danceability,energy,loudness,tempo,track_genre
Gen Hoshino,Comedy,73,230666,0.676,0.461,-6.746,87.917,acoustic
Ben Woodward,Ghost - Acoustic,55,149610,0.42,0.166,-17.235,77.489,acoustic
Ingrid Michaelson;ZAYN,To Begin Again,57,210826,0.438,0.359,-9.734,76.332,acoustic
Kina Grannis,Can't Help Falling In Love,71,201933,0.266,0.0596,-18.515,181.74,acoustic
Chord Overstreet,Hold On,82,198853,0.618,0.443,-9.681,119.949,acoustic
Tyrone Wells,Days I Will Remember,58,214240,0.688,0.481,-8.807,98.017,acoustic
A Great Big World;Christina Aguilera,Say Something,74,229400,0.407,0.147,-8.822,141.284,acoustic
Jason Mraz,I'm Yours,80,242946,0.703,0.444,-9.331,150.96,acoustic
Jason Mraz;Colbie Caillat,Lucky,74,189613,0.625,0.414,-8.7,130.088,acoustic
Ross Copperman,Hunger,56,205594,0.442,0.632,-6.77,78.899,acoustic
Zack Tabudlo,Give Me Your Forever,74,244800,0.627,0.363,-8.127,99.905,acoustic
Jason Mraz,I Won't Give Up,69,240165,0.483,0.303,-10.058,133.406,acoustic
Dan Berk,Solo,52,198712,0.489,0.314,-9.245,124.234,acoustic
Anna Hamilton,Bad Liar,62,248448,0.691,0.234,-6.441,87.103,acoustic
Chord Overstreet;Deepend,Hold On - Remix,56,188133,0.755,0.78,-6.084,120.004,acoustic
Landon Pigg,Falling in Love at a Coffee Shop,58,244986,0.489,0.561,-7.933,83.457,acoustic
Andrew Foy;Renee Foy,ily (i love you baby),56,129750,0.706,0.112,-18.098,110.154,acoustic
Andrew Foy;Renee Foy,At My Worst,54,169728,0.795,0.0841,-18.09,91.803,acoustic
Jason Mraz;Colbie Caillat,Lucky,68,189613,0.625,0.414,-8.7,130.088,acoustic
Boyce Avenue;Bea Miller,Photograph,67,260186,0.717,0.32,-8.393,107.946,acoustic
Jason Mraz,I'm Yours,75,242946,0.703,0.444,-9.331,150.96,acoustic
Boyce Avenue;Jennel Garcia,Demons,63,174174,0.678,0.351,-8.654,90.032,acoustic
A Great Big World;Christina Aguilera,Say Something,70,229400,0.407,0.147,-8.822,141.284,acoustic
Jason Mraz,93 Million Miles,0,216386,0.572,0.454,-10.286,140.182,acoustic
Jason Mraz,Unlonely,0,231266,0.796,0.667,-4.831,97.988,acoustic
Jason Mraz,Bella Luna,1,302346,0.755,0.454,-9.609,120.06,acoustic
Jason Mraz,Winter Wonderland,0,131760,0.62,0.309,-9.209,145.363,acoustic
Jason Mraz,If It Kills Me,0,273653,0.633,0.429,-6.784,143.793,acoustic
Jason Mraz,Winter Wonderland,0,131760,0.62,0.309,-9.209,145.363,acoustic
Jason Mraz,Winter Wonderland,0,131760,0.62,0.309,-9.209,145.363,acoustic
Jason Mraz,Winter Wonderland,0,131760,0.62,0.309,-9.209,145.363,acoustic
Jason Mraz,Winter Wonderland,0,131760,0.62,0.309,-9.209,145.363,acoustic
Chord Overstreet,All I Want For Christmas Is A Real Good Tan,0,234186,0.593,0.455,-8.192,202.019,acoustic
Brandi Carlile;Sam Smith,Party of One,0,259558,0.296,0.206,-11.799,165.4,acoustic
Brandi Carlile;Sam Smith,Party of One,0,259558,0.296,0.206,-11.799,165.4,acoustic
Brandi Carlile;Sam Smith,Party of One,0,259558,0.296,0.206,-11.799,165.4,acoustic
KT Tunstall,Lonely This Christmas,0,257493,0.409,0.153,-10.74,85.262,acoustic
Brandi Carlile,Throwing Good After Bad,0,247791,0.501,0.0952,-12.931,138.016,acoustic
Brandi Carlile,This Time Tomorrow,0,206267,0.606,0.326,-10.031,91.626,acoustic
KT Tunstall,Lonely This Christmas,0,257493,0.409,0.153,-10.74,85.262,acoustic
Eddie Vedder,The Haves,0,306794,0.474,0.519,-5.291,151.832,acoustic
Brandi Carlile,When You're Wrong,0,266960,0.568,0.301,-10.163,88.029,acoustic
Brandi Carlile;Lucius,You and Me on the Rock,0,230098,0.568,0.686,-6.635,172.075,acoustic
Brandi Carlile;Lucius,You and Me on the Rock,0,230098,0.568,0.686,-6.635,172.075,acoustic
Brandi Carlile,"Speak Your Mind (From the Netflix Series ""We The People"")",0,193943,0.476,0.666,-3.438,148.155,acoustic
Brandi Carlile;Lucius,You and Me on the Rock,0,230098,0.568,0.686,-6.635,172.075,acoustic
